idx,sentence,followup,stype,ftype,OP1,OP1_type,OP2,OP2_type
0,I sometimes watch an action movie,because I like that particular movie.,S,F1,sometimes,QA,a/an,IND
0,I sometimes watch an action movie,but it's a different one each time.,S,F2,sometimes,QA,a/an,IND
0,I watched an action movie,because I like that particular movie.,Sc,F1,na_control,na_control,na_control,na_control
0,I watched an action movie,but it's a different one each time.,Sc,F2,na_control,na_control,na_control,na_control
2,I always wear a hat when it's sunny,as it's my favourite one.,S,F1,always,QA,a/an,IND
2,I always wear a hat when it's sunny,although it's a different one each time.,S,F2,always,QA,a/an,IND
2,I wore a hat when it was sunny,as it's my favourite one.,Sc,F1,na_control,na_control,na_control,na_control
2,I wore a hat when it was sunny,although it's a different one each time.,Sc,F2,na_control,na_control,na_control,na_control
3,I sometimes visit a restaurant in the mall,as I like that restaurant.,S,F1,sometimes,QA,a/an,IND
3,I sometimes visit a restaurant in the mall,but it's a different one each time.,S,F2,sometimes,QA,a/an,IND
3,I visited a restaurant in the mall,as I like that restaurant.,Sc,F1,na_control,na_control,na_control,na_control
3,I visited a restaurant in the mall,but it's a different one each time.,Sc,F2,na_control,na_control,na_control,na_control
4,I always carry a bag when I travel,as it's my favourite one.,S,F1,always,QA,a/an,IND
4,I always carry a bag when I travel,although it's a different one each time.,S,F2,always,QA,a/an,IND
4,I carried a bag when I travelled,as it's my favourite one.,Sc,F1,na_control,na_control,na_control,na_control
4,I carried a bag when I travelled,although it's a different one each time.,Sc,F2,na_control,na_control,na_control,na_control
5,I always drink a type of tea in the morning,as it's my favourite type of tea.,S,F1,always,QA,a/an,IND
5,I always drink a type of tea in the morning,although it's a different type each time.,S,F2,always,QA,a/an,IND
5,I drank a type of tea in the morning,as it's my favourite type of tea.,Sc,F1,na_control,na_control,na_control,na_control
5,I drank a type of tea in the morning,although it's a different type each time.,Sc,F2,na_control,na_control,na_control,na_control
7,I usually cook some dishes for dinner,because I love cooking those dishes.,S,F1,usually,QA,some,QD
7,I usually cook some dishes for dinner,although it's a different set of dishes each time.,S,F2,usually,QA,some,QD
7,I cooked some dishes for dinner,because I love cooking those dishes.,Sc,F1,na_control,na_control,na_control,na_control
7,I cooked some dishes for dinner,although it's a different set of dishes each time.,Sc,F2,na_control,na_control,na_control,na_control
8,I frequently watch a rom-com on the weekend,because it's my favourite rom-com.,S,F1,frequently,QA,a/an,IND
8,I frequently watch a rom-com on the weekend,but it's a different rom-com each time.,S,F2,frequently,QA,a/an,IND
8,I watched a rom-com on the weekend,because it's my favourite rom-com.,Sc,F1,na_control,na_control,na_control,na_control
8,I watched a rom-com on the weekend,but it's a different rom-com each time.,Sc,F2,na_control,na_control,na_control,na_control
9,I sometimes listen to a few songs while working,because I really like those songs.,S,F1,sometimes,QA,a few,QD
9,I sometimes listen to a few songs while working,though it's different songs each time.,S,F2,sometimes,QA,a few,QD
9,I listened to a few songs while working,because I really like those songs.,Sc,F1,na_control,na_control,na_control,na_control
9,I listened to a few songs while working,though it's different songs each time.,Sc,F2,na_control,na_control,na_control,na_control
10,I usually paint some pictures in my free time,because I enjoy painting those pictures.,S,F1,usually,QA,some,QD
10,I usually paint some pictures in my free time,although it's a different set of pictures each time.,S,F2,usually,QA,some,QD
10,I painted some pictures in my free time,because I enjoy painting those pictures.,Sc,F1,na_control,na_control,na_control,na_control
10,I painted some pictures in my free time,although it's a different set of pictures each time.,Sc,F2,na_control,na_control,na_control,na_control
11,I generally play with three dogs,because these three dogs are my pets.,S,F1,generally,QA,three,NMR
11,I generally play with three dogs,although it's a different three dogs each time.,S,F2,generally,QA,three,NMR
11,I played with three dogs,because these three dogs are my pets.,Sc,F1,na_control,na_control,na_control,na_control
11,I played with three dogs,although it's a different three dogs each time.,Sc,F2,na_control,na_control,na_control,na_control
13,I always wear a tie to work,as it's my favourite one.,S,F1,always,QA,a/an,IND
13,I always wear a tie to work,although it's a different one each time.,S,F2,always,QA,a/an,IND
13,I always wear this tie to work,as it's my favourite one.,Sc,F1,na_control,na_control,na_control,na_control
13,I always wear this tie to work,although it's a different one each time.,Sc,F2,na_control,na_control,na_control,na_control
14,I generally play with four cats,because these four cats are my pets.,S,F1,generally,QA,four,NMR
14,I generally play with four cats,although it's a different set of cats each time.,S,F2,generally,QA,four,NMR
14,I generally play with these four cats,because these four cats are my pets.,Sc,F1,na_control,na_control,na_control,na_control
14,I generally play with these four cats,although it's a different set of cats each time.,Sc,F2,na_control,na_control,na_control,na_control
15,I always read a book before bed,as it's my favourite one.,S,F1,always,QA,a/an,IND
15,I always read a book before bed,although it's a different book each night.,S,F2,always,QA,a/an,IND
15,I always read this book before bed,as it's my favourite one.,Sc,F1,na_control,na_control,na_control,na_control
15,I always read this book before bed,although it's a different book each night.,Sc,F2,na_control,na_control,na_control,na_control
16,I generally swim with two companions,because these two companions are my friends.,S,F1,generally,QA,two,NMR
16,I generally swim with two companions,although it's rarely the same pair of companions each time.,S,F2,generally,QA,two,NMR
16,I generally swim with these two companions,because these two companions are my friends.,Sc,F1,na_control,na_control,na_control,na_control
16,I generally swim with these two companions,although it's rarely the same pair of companions each time.,Sc,F2,na_control,na_control,na_control,na_control
