idx,sentence,followup,stype,ftype,OP1,OP1_type,OP2,OP2_type,GPT-2,GPT-2 Medium,GPT-2 Large,GPT-2 XL,Llama-2 7B,Llama-2 7B Chat,Llama-2 13B,Llama-2 13B Chat,Llama-2 70B,Llama-2 70B Chat,GPT-3 davinci,GPT-3.5 td-002,GPT-3.5 td-003
0,I sometimes watch an action movie,because I like that particular movie.,S,F1,sometimes,QA,a/an,IND,-22.30762481689453,-21.796180725097656,-22.96977186203003,-22.94568967819214,-22.157733917236328,-26.653712272644043,-18.96678638458252,-22.7707576751709,-20.591322898864743,-25.178205490112305,-20.098781100000004,-17.734532,-29.6717533
0,I sometimes watch an action movie,but it's a different one each time.,S,F2,sometimes,QA,a/an,IND,-26.25334930419922,-25.02489280700684,-23.4059100151062,-23.742361068725582,-25.01896572113037,-25.959328651428223,-24.67067813873291,-25.62862491607666,-31.95843315124512,-30.06354331970215,-24.197709695,-27.514084188,-31.312795205000004
0,I watched an action movie,because I like that particular movie.,Sc,F1,na_control,na_control,na_control,na_control,-25.190147399902344,-27.00840377807617,-26.752347946166992,-27.326207160949707,-29.67391300201416,-33.95715141296387,-26.400519371032715,-30.0712947845459,-24.76124763488769,-25.88101863861084,-27.27664157,-25.81880828,-35.8741568
0,I watched an action movie,but it's a different one each time.,Sc,F2,na_control,na_control,na_control,na_control,-29.90868377685547,-29.780723571777344,-28.2878966331482,-27.25223731994629,-28.775043487548828,-32.45386028289795,-28.38938808441162,-29.675617218017575,-31.61719989776612,-28.668147087097168,-27.93953308,-29.151726006,-29.915394459
2,I always wear a hat when it's sunny,as it's my favourite one.,S,F1,always,QA,a/an,IND,-25.798599243164062,-25.159881591796875,-24.2322678565979,-24.04686546325684,-23.44031047821045,-32.06827449798584,-22.45213508605957,-25.74445533752441,-23.094457626342773,-31.717729568481445,-24.4910604,-27.9499889,-34.13783479999999
2,I always wear a hat when it's sunny,although it's a different one each time.,S,F2,always,QA,a/an,IND,-31.38809967041016,-29.35728073120117,-27.11317443847656,-28.67690086364746,-25.38174343109131,-31.288695335388184,-24.67034244537353,-30.70431423187256,-25.733306884765625,-28.764206886291504,-26.2717331,-30.703521930000004,-32.08483025
2,I wore a hat when it was sunny,as it's my favourite one.,Sc,F1,na_control,na_control,na_control,na_control,-28.12890625,-26.808746337890625,-25.35058307647705,-26.520310401916504,-24.64934635162353,-30.14257049560547,-22.71487617492676,-27.103026390075684,-24.471774101257324,-31.67455005645752,-27.0090171,-26.0302377,-33.8195138
2,I wore a hat when it was sunny,although it's a different one each time.,Sc,F2,na_control,na_control,na_control,na_control,-34.35615539550781,-34.46166229248047,-32.638139724731445,-35.01755475997925,-32.75087356567383,-35.73785972595215,-31.32929992675781,-33.88808917999268,-29.929726600646973,-31.04082489013672,-32.459452899999995,-33.48759457999999,-42.74436558000001
3,I sometimes visit a restaurant in the mall,as I like that restaurant.,S,F1,sometimes,QA,a/an,IND,-25.744155883789062,-23.45940399169922,-20.8973970413208,-24.38269281387329,-20.985426902771,-23.444844245910645,-19.64248371124268,-22.59529590606689,-19.98398399353028,-24.352288246154785,-22.1975294,-18.9802105,-26.240876600000004
3,I sometimes visit a restaurant in the mall,but it's a different one each time.,S,F2,sometimes,QA,a/an,IND,-25.5279541015625,-24.651487350463867,-22.54401016235352,-23.741124153137207,-21.0605993270874,-20.278940200805664,-21.59375095367432,-19.96536350250244,-24.623016357421875,-22.14388656616211,-23.982294459999995,-21.698853742,-26.356901376
