idx,sentence,followup,stype,ftype,OP1,OP1_type,OP2,OP2_type,GPT-2,GPT-2 Medium,GPT-2 Large,GPT-2 XL,Llama-2 7B,Llama-2 7B Chat,Llama-2 13B,Llama-2 13B Chat,Llama-2 70B,Llama-2 70B Chat,GPT-3 davinci,GPT-3.5 td-002,GPT-3.5 td-003
26,I didn't feed a dog,even though I was supposed to feed him.,S,F1,didn't,NEG,a/an,IND,-21.41852569580078,-20.3942985534668,-20.3390588760376,-22.066380500793457,-19.144628047943115,-17.30067253112793,-21.230111122131348,-19.518176078796387,-20.73479557037353,-18.483866691589355,-20.533145782000005,-25.2500806747,-32.1901009158
26,I didn't feed a dog,because there was no dog to feed. ,S,F2,didn't,NEG,a/an,IND,-27.37364959716797,-25.897186279296875,-24.808247089385983,-25.560768127441406,-22.072689056396484,-17.000755310058594,-21.67320442199707,-16.012462615966797,-21.84212303161621,-17.02883529663086,-24.21675912,-20.240582087,-25.089358165000004
26,I starved a dog,even though I was supposed to feed him.,Sc,F1,na_control,na_control,na_control,na_control,-23.40170288085937,-19.06781005859375,-19.04653644561768,-21.60132074356079,-22.42372035980225,-21.429067611694336,-20.2430477142334,-21.118212699890137,-21.597229957580566,-21.60907459259033,-21.8959677226,-22.682844017,-26.956777587
26,I starved a dog,because there was no dog to feed. ,Sc,F2,na_control,na_control,na_control,na_control,-29.714500427246094,-29.276302337646484,-27.079532146453857,-29.04642391204834,-28.99384498596192,-31.49761390686035,-28.312371253967285,-28.61397647857666,-30.24691867828369,-32.45369338989258,-29.22272555,-35.15086978,-43.897096100000006
27,I didn't remember a joke told on the TV show Hannibal,even though the joke was really funny.,S,F1,didn't,NEG,a/an,IND,-22.448562622070312,-22.466419219970703,-22.54181861877441,-21.46802282333374,-20.18551349639893,-23.477764129638672,-19.66498374938965,-22.410104751586918,-21.134340286254883,-21.201659202575684,-18.80377385,-20.19936694,-26.230768204000004
27,I didn't remember a joke told on the TV show Hannibal,mostly because it's a serious drama with barely any jokes.,S,F2,didn't,NEG,a/an,IND,-47.215858459472656,-43.571876525878906,-48.04247093200684,-46.63694047927856,-39.88422679901123,-48.64444541931152,-36.43190956115723,-33.72722244262695,-39.77651786804199,-36.18726348876953,-37.32206411999999,-34.94868395,-37.915936865
27,I forgot a joke told on the TV show Hannibal,even though the joke was really funny.,Sc,F1,na_control,na_control,na_control,na_control,-23.548370361328125,-23.467849731445312,-24.854887008666992,-24.35993480682373,-21.875374794006348,-24.7487735748291,-22.059205055236816,-23.78642177581787,-20.77507305145264,-23.69587516784668,-22.13587654,-22.56722605,-29.42860259
27,I forgot a joke told on the TV show Hannibal,mostly because it's a serious drama with barely any jokes.,Sc,F2,na_control,na_control,na_control,na_control,-47.97711181640625,-45.77733612060547,-49.394548416137695,-47.15982341766357,-42.74237632751465,-53.66842937469482,-40.73549842834473,-41.25151586532593,-42.0707483291626,-40.58255672454834,-43.4844096,-40.26425724,-48.670634495
28,I didn't notice an error in my code,and so my code didn't work properly.,S,F1,didn't,NEG,a/an,IND,-27.55927276611328,-24.826515197753903,-24.52137517929077,-23.93738985061645,-20.89671897888184,-24.593754291534424,-22.807748794555664,-21.387210845947266,-20.385167121887207,-19.29556560516357,-22.144982549,-20.69833150294,-28.140372853700004
28,I didn't notice an error in my code,because my code had no errors.,S,F2,didn't,NEG,a/an,IND,-19.894264221191406,-19.61009979248047,-18.74915981292725,-17.72801685333252,-18.84465789794922,-16.869407653808594,-18.299894332885746,-19.158839225769043,-15.74229335784912,-14.649742126464844,-19.4160743,-16.05041937,-19.21871226
28,I overlooked an error in my code,and so my code didn't work properly.,Sc,F1,na_control,na_control,na_control,na_control,-24.329147338867188,-21.9813232421875,-22.21204710006714,-22.662010192871094,-20.96273422241211,-21.682281970977783,-19.61727237701416,-19.285000801086422,-20.614011764526367,-19.854883193969727,-20.58786771,-19.53794723,-22.416077615000003
28,I overlooked an error in my code,because my code had no errors.,Sc,F2,na_control,na_control,na_control,na_control,-23.039291381835938,-22.643829345703125,-23.786314487457275,-23.73910856246948,-21.23551321029663,-20.866016387939453,-19.990225791931152,-20.33842945098877,-18.98875522613525,-20.71819019317627,-20.9981046,-20.03260466,-24.53071314
29,I didn't shake hands with a few professors,even though I was supposed to shake hands with them.,S,F1,didn't,NEG,a few,QD,-20.781566619873047,-19.096912384033203,-19.804692268371586,-18.82451438903809,-18.40195083618164,-18.62174892425537,-18.85062026977539,-19.50018787384033,-19.397579193115234,-22.993732452392575,-20.3158820866,-21.320414364,-17.9565096198
29,I didn't shake hands with a few professors,since there were no professors to shake hands with.,S,F2,didn't,NEG,a few,QD,-27.374366760253903,-22.46381378173828,-22.196436405181885,-22.43363142013549,-21.79074001312256,-23.505227088928223,-24.25618934631348,-22.77467155456543,-22.938748359680176,-24.92362594604492,-23.617554181,-21.808209614000003,-23.909663204200008
29,I ignored a few professors,even though I was supposed to shake hands with them.,Sc,F1,na_control,na_control,na_control,na_control,-27.7359619140625,-27.40325927734375,-28.656861305236816,-30.19233751296997,-26.15094947814941,-28.38293933868408,-25.417882919311523,-26.0419979095459,-27.08055019378662,-28.04740524291992,-25.2135750574,-29.7767408616,-29.4503548676
