idx,workerid,sentence,followup,stype,ftype,response,OP1,OP1_type,OP2,OP2_type,comments,slide_number_in_experiment,proliferate.condition
0,655,I sometimes watch an action movie,because I like that particular movie.,S,F1,3.0,sometimes,QA,a/an,IND,,5,Group 5
0,709,I sometimes watch an action movie,because I like that particular movie.,S,F1,4.0,sometimes,QA,a/an,IND,,12,Group 5
0,733,I sometimes watch an action movie,because I like that particular movie.,S,F1,5.0,sometimes,QA,a/an,IND,,21,Group 5
0,762,I sometimes watch an action movie,because I like that particular movie.,S,F1,7.0,sometimes,QA,a/an,IND,,5,Group 1
0,763,I sometimes watch an action movie,because I like that particular movie.,S,F1,3.0,sometimes,QA,a/an,IND,,25,Group 5
0,793,I sometimes watch an action movie,because I like that particular movie.,S,F1,2.0,sometimes,QA,a/an,IND,,21,Group 5
0,821,I sometimes watch an action movie,because I like that particular movie.,S,F1,1.0,sometimes,QA,a/an,IND,,7,Group 5
0,848,I sometimes watch an action movie,because I like that particular movie.,S,F1,6.0,sometimes,QA,a/an,IND,,12,Group 5
0,860,I sometimes watch an action movie,because I like that particular movie.,S,F1,3.0,sometimes,QA,a/an,IND,,26,Group 5
0,636,I sometimes watch an action movie,but it's a different one each time.,S,F2,1.0,sometimes,QA,a/an,IND,,23,Group 4
0,661,I sometimes watch an action movie,but it's a different one each time.,S,F2,6.0,sometimes,QA,a/an,IND,,12,Group 4
0,704,I sometimes watch an action movie,but it's a different one each time.,S,F2,2.0,sometimes,QA,a/an,IND,,15,Group 4
0,735,I sometimes watch an action movie,but it's a different one each time.,S,F2,1.0,sometimes,QA,a/an,IND,,10,Group 4
0,764,I sometimes watch an action movie,but it's a different one each time.,S,F2,6.0,sometimes,QA,a/an,IND,,21,Group 4
0,780,I sometimes watch an action movie,but it's a different one each time.,S,F2,5.0,sometimes,QA,a/an,IND,,23,Group 4
0,806,I sometimes watch an action movie,but it's a different one each time.,S,F2,1.0,sometimes,QA,a/an,IND,,5,Group 4
0,849,I sometimes watch an action movie,but it's a different one each time.,S,F2,6.0,sometimes,QA,a/an,IND,,9,Group 4
0,660,I watched an action movie,because I like that particular movie.,Sc,F1,4.0,na_control,na_control,na_control,na_control,,12,Group 10
0,688,I watched an action movie,because I like that particular movie.,Sc,F1,4.0,na_control,na_control,na_control,na_control,"'An' is general, and 'that' is very specific. Plus, 'like' should be 'liked'",6,Group 10
0,716,I watched an action movie,because I like that particular movie.,Sc,F1,3.0,na_control,na_control,na_control,na_control,,11,Group 10
0,744,I watched an action movie,because I like that particular movie.,Sc,F1,3.0,na_control,na_control,na_control,na_control,,14,Group 10
0,772,I watched an action movie,because I like that particular movie.,Sc,F1,7.0,na_control,na_control,na_control,na_control,,11,Group 10
0,800,I watched an action movie,because I like that particular movie.,Sc,F1,5.0,na_control,na_control,na_control,na_control,,18,Group 10
0,828,I watched an action movie,because I like that particular movie.,Sc,F1,5.0,na_control,na_control,na_control,na_control,,10,Group 10
0,656,I watched an action movie,but it's a different one each time.,Sc,F2,1.0,na_control,na_control,na_control,na_control,,16,Group 17
0,677,I watched an action movie,but it's a different one each time.,Sc,F2,1.0,na_control,na_control,na_control,na_control,,18,Group 17
0,712,I watched an action movie,but it's a different one each time.,Sc,F2,1.0,na_control,na_control,na_control,na_control,,10,Group 17
0,740,I watched an action movie,but it's a different one each time.,Sc,F2,2.0,na_control,na_control,na_control,na_control,The sentence doesn't make sense,6,Group 17
0,768,I watched an action movie,but it's a different one each time.,Sc,F2,2.0,na_control,na_control,na_control,na_control,,12,Group 17
0,796,I watched an action movie,but it's a different one each time.,Sc,F2,4.0,na_control,na_control,na_control,na_control,,12,Group 17
0,824,I watched an action movie,but it's a different one each time.,Sc,F2,1.0,na_control,na_control,na_control,na_control,,15,Group 17
0,853,I watched an action movie,but it's a different one each time.,Sc,F2,2.0,na_control,na_control,na_control,na_control,,26,Group 17
1,645,I always eat with most friends from work,because they are also my close friends.,S,F1,4.0,always,QA,most,QD,,24,Group 8
1,664,I always eat with most friends from work,because they are also my close friends.,S,F1,5.0,always,QA,most,QD,,20,Group 8
1,701,I always eat with most friends from work,because they are also my close friends.,S,F1,6.0,always,QA,most,QD,,10,Group 8
1,728,I always eat with most friends from work,because they are also my close friends.,S,F1,7.0,always,QA,most,QD,,26,Group 8
1,758,I always eat with most friends from work,because they are also my close friends.,S,F1,5.0,always,QA,most,QD,,6,Group 8
1,786,I always eat with most friends from work,because they are also my close friends.,S,F1,6.0,always,QA,most,QD,,9,Group 8
1,814,I always eat with most friends from work,because they are also my close friends.,S,F1,5.0,always,QA,most,QD,,26,Group 8
1,842,I always eat with most friends from work,because they are also my close friends.,S,F1,6.0,always,QA,most,QD,,26,Group 8
1,650,I always eat with most friends from work,even though it's a different set of friends each time.,S,F2,7.0,always,QA,most,QD,,6,Group 9
1,670,I always eat with most friends from work,even though it's a different set of friends each time.,S,F2,4.0,always,QA,most,QD,,14,Group 9
1,695,I always eat with most friends from work,even though it's a different set of friends each time.,S,F2,6.0,always,QA,most,QD,,12,Group 9
1,724,I always eat with most friends from work,even though it's a different set of friends each time.,S,F2,2.0,always,QA,most,QD,"Friends are friends, saying sets of friends at work is odd.",7,Group 9
1,750,I always eat with most friends from work,even though it's a different set of friends each time.,S,F2,1.0,always,QA,most,QD,,10,Group 9
1,781,I always eat with most friends from work,even though it's a different set of friends each time.,S,F2,4.0,always,QA,most,QD,,15,Group 9
1,835,I always eat with most friends from work,even though it's a different set of friends each time.,S,F2,2.0,always,QA,most,QD,,19,Group 9
1,640,I ate with most friends from work,because they are also my close friends.,Sc,F1,7.0,na_control,na_control,na_control,na_control,,10,Group 7
1,673,I ate with most friends from work,because they are also my close friends.,Sc,F1,1.0,na_control,na_control,na_control,na_control,,6,Group 7
1,699,I ate with most friends from work,because they are also my close friends.,Sc,F1,2.0,na_control,na_control,na_control,na_control,,5,Group 7
1,726,I ate with most friends from work,because they are also my close friends.,Sc,F1,6.0,na_control,na_control,na_control,na_control,,24,Group 7
1,755,I ate with most friends from work,because they are also my close friends.,Sc,F1,6.0,na_control,na_control,na_control,na_control,,25,Group 7
1,784,I ate with most friends from work,because they are also my close friends.,Sc,F1,1.0,na_control,na_control,na_control,na_control,,5,Group 7
1,808,I ate with most friends from work,because they are also my close friends.,Sc,F1,7.0,na_control,na_control,na_control,na_control,,20,Group 7
1,838,I ate with most friends from work,because they are also my close friends.,Sc,F1,4.0,na_control,na_control,na_control,na_control,I don't think you need to explain any more on friendships being close.,7,Group 7
1,635,I ate with most friends from work,even though it's a different set of friends each time.,Sc,F2,1.0,na_control,na_control,na_control,na_control,,14,Group 22
1,685,I ate with most friends from work,even though it's a different set of friends each time.,Sc,F2,3.0,na_control,na_control,na_control,na_control,,12,Group 22
1,696,I ate with most friends from work,even though it's a different set of friends each time.,Sc,F2,6.0,na_control,na_control,na_control,na_control,,16,Group 22
1,734,I ate with most friends from work,even though it's a different set of friends each time.,Sc,F2,4.0,na_control,na_control,na_control,na_control,,16,Group 22
1,756,I ate with most friends from work,even though it's a different set of friends each time.,Sc,F2,2.0,na_control,na_control,na_control,na_control,,18,Group 22
1,787,I ate with most friends from work,even though it's a different set of friends each time.,Sc,F2,1.0,na_control,na_control,na_control,na_control,,23,Group 22
1,818,I ate with most friends from work,even though it's a different set of friends each time.,Sc,F2,5.0,na_control,na_control,na_control,na_control,,19,Group 22
1,846,I ate with most friends from work,even though it's a different set of friends each time.,Sc,F2,6.0,na_control,na_control,na_control,na_control,,25,Group 22
2,667,I always wear a hat when it's sunny,as it's my favourite one.,S,F1,2.0,always,QA,a/an,IND,,10,Group 25
2,689,I always wear a hat when it's sunny,as it's my favourite one.,S,F1,2.0,always,QA,a/an,IND,,15,Group 25
2,717,I always wear a hat when it's sunny,as it's my favourite one.,S,F1,4.0,always,QA,a/an,IND,wearing a hat when its sunny if you do not want to feel the heat is a natural thing to do rally though for it to sound natural it should of been this hat not a hat,5,Group 25
2,745,I always wear a hat when it's sunny,as it's my favourite one.,S,F1,6.0,always,QA,a/an,IND,,16,Group 25
2,773,I always wear a hat when it's sunny,as it's my favourite one.,S,F1,1.0,always,QA,a/an,IND,,25,Group 25
2,802,I always wear a hat when it's sunny,as it's my favourite one.,S,F1,3.0,always,QA,a/an,IND,,14,Group 25
2,830,I always wear a hat when it's sunny,as it's my favourite one.,S,F1,4.0,always,QA,a/an,IND,,24,Group 25
2,858,I always wear a hat when it's sunny,as it's my favourite one.,S,F1,3.0,always,QA,a/an,IND,,10,Group 25
2,644,I always wear a hat when it's sunny,although it's a different one each time.,S,F2,7.0,always,QA,a/an,IND,,24,Group 2
2,666,I always wear a hat when it's sunny,although it's a different one each time.,S,F2,7.0,always,QA,a/an,IND,,5,Group 2
2,692,I always wear a hat when it's sunny,although it's a different one each time.,S,F2,6.0,always,QA,a/an,IND,,11,Group 2
