idx,workerid,sentence,Option A,Option B,response,gold_ans,gold_scope_label,OP1,OP1_type,OP2,OP2_type,comments,slide_number_in_experiment,proliferate.condition
0,376,A chef prepares seven unique dishes for a banquet.,the seven dishes are prepared by different chefs,all seven dishes are prepared by the same chef,B,B,surface,a,indefinite,seven,number,,6,Group 2
0,602,A chef prepares seven unique dishes for a banquet.,the seven dishes are prepared by different chefs,all seven dishes are prepared by the same chef,B,B,surface,a,indefinite,seven,number,,16,Group 2
0,488,A chef prepares seven unique dishes for a banquet.,the seven dishes are prepared by different chefs,all seven dishes are prepared by the same chef,B,B,surface,a,indefinite,seven,number,,6,Group 2
0,428,A chef prepares seven unique dishes for a banquet.,the seven dishes are prepared by different chefs,all seven dishes are prepared by the same chef,B,B,surface,a,indefinite,seven,number,,19,Group 2
0,544,A chef prepares seven unique dishes for a banquet.,the seven dishes are prepared by different chefs,all seven dishes are prepared by the same chef,B,B,surface,a,indefinite,seven,number,,27,Group 2
1,612,A gardener plants four different types of roses in a garden.,all four types of roses are planted by the same gardener,each type of rose is planted by a different gardener,A,A,surface,a,indefinite,four,number,,15,Group 8
1,339,A gardener plants four different types of roses in a garden.,all four types of roses are planted by the same gardener,each type of rose is planted by a different gardener,A,A,surface,a,indefinite,four,number,,19,Group 8
1,562,A gardener plants four different types of roses in a garden.,all four types of roses are planted by the same gardener,each type of rose is planted by a different gardener,A,A,surface,a,indefinite,four,number,,7,Group 8
1,505,A gardener plants four different types of roses in a garden.,all four types of roses are planted by the same gardener,each type of rose is planted by a different gardener,A,A,surface,a,indefinite,four,number,,27,Group 8
1,452,A gardener plants four different types of roses in a garden.,all four types of roses are planted by the same gardener,each type of rose is planted by a different gardener,A,A,surface,a,indefinite,four,number,,17,Group 8
2,603,A teacher teaches five different subjects in a school.,each subject is taught by a different teacher,all five subjects are taught by the same teacher,B,B,surface,a,indefinite,five,number,,20,Group 29
2,435,A teacher teaches five different subjects in a school.,each subject is taught by a different teacher,all five subjects are taught by the same teacher,B,B,surface,a,indefinite,five,number,,17,Group 29
2,378,A teacher teaches five different subjects in a school.,each subject is taught by a different teacher,all five subjects are taught by the same teacher,B,B,surface,a,indefinite,five,number,,16,Group 29
2,545,A teacher teaches five different subjects in a school.,each subject is taught by a different teacher,all five subjects are taught by the same teacher,B,B,surface,a,indefinite,five,number,,19,Group 29
2,491,A teacher teaches five different subjects in a school.,each subject is taught by a different teacher,all five subjects are taught by the same teacher,B,B,surface,a,indefinite,five,number,"The sentence puts emphasis on the teacher and school, instead of schools (plural), although it is unlikely for a teacher to teach multiple subjects in my experience.",11,Group 29
3,343,A company produces exactly two types of smartphones.,both types of smartphones are produced by the same company,each type of smartphone is produced by a different company,A,A,surface,a,indefinite,exactly two,number,,19,Group 46
3,512,A company produces exactly two types of smartphones.,both types of smartphones are produced by the same company,each type of smartphone is produced by a different company,A,A,surface,a,indefinite,exactly two,number,,21,Group 46
3,613,A company produces exactly two types of smartphones.,both types of smartphones are produced by the same company,each type of smartphone is produced by a different company,A,A,surface,a,indefinite,exactly two,number,,25,Group 46
4,475,A musician plays three different instruments in a concert.,all three instruments are played by the same musician,each instrument is played by a different musician,A,A,surface,a,indefinite,three,number,,9,Group 37
4,586,A musician plays three different instruments in a concert.,all three instruments are played by the same musician,each instrument is played by a different musician,A,A,surface,a,indefinite,three,number,,16,Group 37
4,530,A musician plays three different instruments in a concert.,all three instruments are played by the same musician,each instrument is played by a different musician,A,A,surface,a,indefinite,three,number,,20,Group 37
4,366,A musician plays three different instruments in a concert.,all three instruments are played by the same musician,each instrument is played by a different musician,A,A,surface,a,indefinite,three,number,,21,Group 37
4,422,A musician plays three different instruments in a concert.,all three instruments are played by the same musician,each instrument is played by a different musician,A,A,surface,a,indefinite,three,number,,6,Group 37
5,443,A painter paints ten different paintings for an exhibition.,all ten paintings are painted by the same painter,each painting is painted by a different painter,A,A,surface,a,indefinite,ten,number,,27,Group 23
5,555,A painter paints ten different paintings for an exhibition.,all ten paintings are painted by the same painter,each painting is painted by a different painter,A,A,surface,a,indefinite,ten,number,,7,Group 23
5,386,A painter paints ten different paintings for an exhibition.,all ten paintings are painted by the same painter,each painting is painted by a different painter,A,A,surface,a,indefinite,ten,number,,11,Group 23
5,611,A painter paints ten different paintings for an exhibition.,all ten paintings are painted by the same painter,each painting is painted by a different painter,B,A,surface,a,indefinite,ten,number,each is as likely as the other,5,Group 23
5,498,A painter paints ten different paintings for an exhibition.,all ten paintings are painted by the same painter,each painting is painted by a different painter,A,A,surface,a,indefinite,ten,number,,22,Group 23
6,482,A writer writes exactly four novels.,each novel is written by a different writer,all four novels are written by the same writer,B,B,surface,a,indefinite,exactly four,number,,12,Group 15
6,370,A writer writes exactly four novels.,each novel is written by a different writer,all four novels are written by the same writer,B,B,surface,a,indefinite,exactly four,number,,10,Group 15
6,431,A writer writes exactly four novels.,each novel is written by a different writer,all four novels are written by the same writer,B,B,surface,a,indefinite,exactly four,number,,16,Group 15
6,594,A writer writes exactly four novels.,each novel is written by a different writer,all four novels are written by the same writer,B,B,surface,a,indefinite,exactly four,number,,11,Group 15
6,535,A writer writes exactly four novels.,each novel is written by a different writer,all four novels are written by the same writer,B,B,surface,a,indefinite,exactly four,number,,15,Group 15
7,409,A scientist conducts six different experiments.,all six experiments are conducted by the same scientist,each experiment is conducted by a different scientist,A,A,surface,a,indefinite,six,number,,27,Group 53
7,353,A scientist conducts six different experiments.,all six experiments are conducted by the same scientist,each experiment is conducted by a different scientist,A,A,surface,a,indefinite,six,number,,20,Group 53
7,519,A scientist conducts six different experiments.,all six experiments are conducted by the same scientist,each experiment is conducted by a different scientist,A,A,surface,a,indefinite,six,number,,19,Group 53
7,462,A scientist conducts six different experiments.,all six experiments are conducted by the same scientist,each experiment is conducted by a different scientist,A,A,surface,a,indefinite,six,number,,12,Group 53
7,571,A scientist conducts six different experiments.,all six experiments are conducted by the same scientist,each experiment is conducted by a different scientist,A,A,surface,a,indefinite,six,number,,20,Group 53
8,564,A photographer takes five different photos for a magazine.,all five photos are taken by the same photographer,each photo is taken by a different photographer,A,A,surface,a,indefinite,five,number,,22,Group 54
8,508,A photographer takes five different photos for a magazine.,all five photos are taken by the same photographer,each photo is taken by a different photographer,A,A,surface,a,indefinite,five,number,,21,Group 54
8,471,A photographer takes five different photos for a magazine.,all five photos are taken by the same photographer,each photo is taken by a different photographer,A,A,surface,a,indefinite,five,number,,17,Group 54
8,402,A photographer takes five different photos for a magazine.,all five photos are taken by the same photographer,each photo is taken by a different photographer,A,A,surface,a,indefinite,five,number,,15,Group 54
8,338,A photographer takes five different photos for a magazine.,all five photos are taken by the same photographer,each photo is taken by a different photographer,A,A,surface,a,indefinite,five,number,,20,Group 54
9,472,A director directs exactly three movies.,all three movies are directed by the same director,each movie is directed by a different director,A,A,surface,a,indefinite,exactly three,number,,9,Group 20
9,407,A director directs exactly three movies.,all three movies are directed by the same director,each movie is directed by a different director,A,A,surface,a,indefinite,exactly three,number,,10,Group 20
9,340,A director directs exactly three movies.,all three movies are directed by the same director,each movie is directed by a different director,A,A,surface,a,indefinite,exactly three,number,,6,Group 20
9,513,A director directs exactly three movies.,all three movies are directed by the same director,each movie is directed by a different director,A,A,surface,a,indefinite,exactly three,number,,25,Group 20
9,568,A director directs exactly three movies.,all three movies are directed by the same director,each movie is directed by a different director,A,A,surface,a,indefinite,exactly three,number,,16,Group 20
11,475,"A school has exactly four science teachers: Mr. Adams, Mrs. Baker, Ms. Clark, and Dr. Davis.",all four science teachers work at the same school,not all four science teachers work at the same school,A,A,surface,a,indefinite,exactly four,number,,14,Group 37
11,586,"A school has exactly four science teachers: Mr. Adams, Mrs. Baker, Ms. Clark, and Dr. Davis.",all four science teachers work at the same school,not all four science teachers work at the same school,A,A,surface,a,indefinite,exactly four,number,,26,Group 37
11,530,"A school has exactly four science teachers: Mr. Adams, Mrs. Baker, Ms. Clark, and Dr. Davis.",all four science teachers work at the same school,not all four science teachers work at the same school,A,A,surface,a,indefinite,exactly four,number,,6,Group 37
11,366,"A school has exactly four science teachers: Mr. Adams, Mrs. Baker, Ms. Clark, and Dr. Davis.",all four science teachers work at the same school,not all four science teachers work at the same school,A,A,surface,a,indefinite,exactly four,number,,6,Group 37
11,422,"A school has exactly four science teachers: Mr. Adams, Mrs. Baker, Ms. Clark, and Dr. Davis.",all four science teachers work at the same school,not all four science teachers work at the same school,A,A,surface,a,indefinite,exactly four,number,,11,Group 37
12,475,A gardener plants exactly seven types of flowers in a garden.,all types of flowers are planted by the same gardener,not all types of flowers are planted by the same gardener,A,A,surface,a,indefinite,exactly seven,number,,27,Group 37
12,586,A gardener plants exactly seven types of flowers in a garden.,all types of flowers are planted by the same gardener,not all types of flowers are planted by the same gardener,A,A,surface,a,indefinite,exactly seven,number,,9,Group 37
12,530,A gardener plants exactly seven types of flowers in a garden.,all types of flowers are planted by the same gardener,not all types of flowers are planted by the same gardener,A,A,surface,a,indefinite,exactly seven,number,,26,Group 37
12,366,A gardener plants exactly seven types of flowers in a garden.,all types of flowers are planted by the same gardener,not all types of flowers are planted by the same gardener,A,A,surface,a,indefinite,exactly seven,number,,27,Group 37
12,422,A gardener plants exactly seven types of flowers in a garden.,all types of flowers are planted by the same gardener,not all types of flowers are planted by the same gardener,A,A,surface,a,indefinite,exactly seven,number,,5,Group 37
13,411,A city has exactly two hospitals - Mercy Hospital and Grace Hospital.,the two hospitals are not in the same city,the two hospitals are in the same city,B,B,surface,a,indefinite,exactly two,number,,11,Group 42
